12.00

# MATERIAL INFORMATION

##########################################################
## IMPORTANT                                            ##
##########################################################
## THIS DATA FILE IS FORMATTED WITH TABS OF SIZE 4		##
## AND SHOULD BE VIEWED IN VISUAL STUDIO OR NOTEPAD++	##
##########################################################

# MATERIAL				name of the material
# FILTER				filter name of the material - used by the tools to simplify material selection
# FX GROUP				the fx group that this material maps to 	

# VFX_DISTURBANCE_TYPE	the type of disturbance effect that is played when fast moving things move quickly above this material (e.g. downwashes, projectiles etc)
# REACT_WEAPON_TYPE		the type of weapon that is used to damage a ped colliding with this material

# RAGE_FRICTION		
# RAGE_ELASTICITY

# DENSITY				physical density of the material
# TYRE_GRIP				tyre grip - will override friction values for vehicle tyres on each material
# WET_GRIP				wet multiplier on tyre grip

# VIBRATION				pad vibration (0.0:none -> 1.0:lots)
# SOFTNESS				how much you can sink into the matrial (used for second surface) (0.0:not -> 1.0:very)
# NOISINESS				how loud the material is (used by the stealth code) (0.0:not -> 1.0:very)

# FLAMMABILITY			flammability (0.0:not -> 1.0:very)	
# BURN_TIME				burn time (time the material will burn for (in seconds))	
# BURN_STR				burn strength (the strength of the flames (0.0 -> 1.0)	

# FLAGS
#  SEE_THRU				AI probes will pass through
#  SHOOT_THRU			weapon probes will pass through
#  SHOOT_THRU_FX		requests that a collision is reported on the shoot_thru poly so vfx/sfx can be played


#																																																								FLAGS---------------->	
# MATERIAL					FILTER				FX GROUP			VFX				RUMBLE PROFILE			REACT					RAGE_FRICTION			TYRE_GRIP		   					       			PENETRATION		SEE_THRU		POROUS	MATERIAL
#																	DISTURBANCE								WEAPON							RAGE_ELASTICITY		  	WET_GRIP	TOP_SPEED_MULT	SOFTNESS		RESISTANCE		  SHOOT_THRU	  HEATS_TYRE	 
#																	TYPE									TYPE									DENSITY		    		TYRE_DRAG					NOISINES					SHOOT_THRU_FX		
#																																																									  NO_DECAL  	
#																																																				
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
																														
###############################																											
# DEFAULT (000-000)																												
																														
DEFAULT						DEFAULT				GENERIC		    	DEFAULT			-						-						1.0		0.1		1750.0	1.00	-0.15	0.0		1.0			0.95	0.0 	1.0				0 0 0 0			0 0		DEFAULT				
																			  												
																			  												
###############################																  													
# HARD TERRAIN (001-017)																	  													
																			  												
CONCRETE					HARD_TERRAIN		CONCRETE	   		DEFAULT			-						-						1.0		0.3		7850.5	1.00 	-0.10  	0.0	  	1.0			0.95	0.0 	1.0				0 0 0 0			0 1		CONCRETE		
CONCRETE_POTHOLE			HARD_TERRAIN		CONCRETE	    	DEFAULT			CONCRETE_POTHOLE		-						0.8		0.4		4900.0	0.90 	-0.10  	0.0	  	1.0			0.95	0.0 	1.0				0 0 0 0			0 1		CONCRETE_POTHOLE	
CONCRETE_DUSTY				HARD_TERRAIN		CONCRETE_DUSTY	    DEFAULT			-						-						0.6		0.3		7850.5	1.00 	-0.10  	0.0	  	1.0			0.95	0.0 	1.0				0 0 0 0			0 1		CONCRETE_DUSTY	
TARMAC						HARD_TERRAIN		TARMAC		   		DEFAULT			-						-						1.0		0.4		6300.0	1.00 	-0.10  	0.0  	1.0			0.95	0.0 	1.0				0 0 0 0			0 1		TARMAC			
TARMAC_PAINTED				HARD_TERRAIN		TARMAC		    	DEFAULT			-						-						0.7		0.4		6300.0	0.90 	-0.10 	0.0 	1.0			0.95	0.0 	1.0				0 0 0 0			0 1		TARMAC_PAINTED		
TARMAC_POTHOLE				HARD_TERRAIN		TARMAC_BRITTLE	    DEFAULT			TARMAC_POTHOLE			-						0.7		0.4		4900.0	0.90 	-0.10  	0.0  	1.0			0.95	0.0 	1.0				0 0 0 0			0 1		TARMAC_POTHOLE		
RUMBLE_STRIP				HARD_TERRAIN		TARMAC		    	DEFAULT			RUMBLE_STRIP			-						1.0		0.3		6300.0	0.95 	-0.12  	0.0  	1.0			0.95	0.0 	1.0				0 0 0 0			0 1		RUMBLE_STRIP		
BREEZE_BLOCK				HARD_TERRAIN		CONCRETE	    	DIRT			-						-						1.0		0.3		7000.0	1.00 	-0.10	0.0		1.0			0.95	0.0		1.0				0 0 0 0			0 1		BREEZE_BLOCK		
ROCK						HARD_TERRAIN		STONE		    	DIRT			ROCK					-						0.9		0.4		7000.0	1.00 	-0.15	0.0		1.0			0.95	0.0		1.0				0 0 0 0			0 1		ROCK			
ROCK_MOSSY					HARD_TERRAIN		STONE		    	DIRT			ROCK_MOSSY				-						0.6		0.3		7000.0	0.80 	-0.20	0.0		1.0			0.95	0.0		1.0				0 0 0 0			0 1		ROCK_MOSSY		
STONE						HARD_TERRAIN		STONE		    	DIRT			-						-						0.8		0.4		7000.0	1.00 	-0.15	0.0		1.0			0.95	0.0		1.0				0 0 0 0			0 1		STONE			
COBBLESTONE					HARD_TERRAIN		STONE		    	DEFAULT			COBBLESTONE				-						0.8		0.4		7000.0	1.00 	-0.13	0.0		1.0			0.95	0.0		1.0				0 0 0 0			0 1		COBBLESTONE		
BRICK						HARD_TERRAIN		BRICK		    	DEFAULT			-						-						0.8		0.4		7000.0	1.00 	-0.15	0.0		1.0			0.95	0.0		1.0				0 0 0 0			0 1		BRICK			
MARBLE						HARD_TERRAIN		MARBLE		    	DEFAULT			-						-						0.7		0.5		8970.5	0.80 	-0.15	0.0		1.0			0.95	0.0		1.0				0 0 0 0			0 1		MARBLE			
PAVING_SLAB 				HARD_TERRAIN		PAVING	 	    	DEFAULT			-						-						0.9		0.4		7000.0	1.00 	-0.10	0.0		1.0			0.95	0.0 	1.0				0 0 0 0			0 1		PAVING_SLABS 		
SANDSTONE_SOLID				HARD_TERRAIN		SANDSTONE	    	DIRT			-						-						1.0		0.4		8130.5	1.00 	-0.15	0.0		1.0			0.95	0.0		1.0				0 0 0 0			0 1		SANDSTONE_SOLID		
SANDSTONE_BRITTLE			HARD_TERRAIN		SANDSTONE_BRITTLE   DIRT			-						-						1.0		0.2		5075.0	1.00 	-0.15	0.05	1.0			0.95	0.0		1.0				0 0 0 0			0 1		SANDSTONE_BRITTLE	
																			  												
																			  												
###############################																  													
# LOOSE TERRAIN	(018-045)																	  													
																		   	  																													
SAND_LOOSE					LOOSE_TERRAIN		SAND_LOOSE	    	SAND			-						-						1.5		0.1		5047.0	0.80	0.10	0.20	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SAND_LOOSE			
SAND_COMPACT				LOOSE_TERRAIN		SAND_COMPACT	    SAND			-						-						1.0		0.4		5950.0	0.90   	0.10	0.10	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SAND_COMPACT			
SAND_WET					LOOSE_TERRAIN		SAND_WET	    	SAND			-						-						2.0		0.2		6727.0	0.85   	0.00	0.30	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SAND_WET			
SAND_TRACK					LOOSE_TERRAIN		SAND_COMPACT	    SAND			-						-						0.8		0.2		5775.0	0.90  	0.10	0.10	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SAND_TRACK			
SAND_UNDERWATER				LOOSE_TERRAIN		SAND_UNDERWATER		SAND			-						-						2.0		0.2		5775.0	0.90  	0.00	0.30	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SAND_UNDERWATER	
SAND_DRY_DEEP				LOOSE_TERRAIN		SAND_DEEP	    	SAND			-						-						2.0		0.1		5047.0	0.80	0.10	0.25	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SAND_DRY_DEEP	
SAND_WET_DEEP 				LOOSE_TERRAIN		SAND_WET_DEEP	    SAND			-						-						2.0		0.2		6727.0	0.90   	0.00	0.30	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SAND_WET_DEEP			

ICE							LOOSE_TERRAIN		ICE		    		DEFAULT			-						-						0.5		0.3		3216.5	0.7  	-0.20	0.0		1.0			0.95	0.0 	1.0				0 0 0 0			0 0		ICE			
ICE_TARMAC					HARD_TERRAIN		ICE		    		DEFAULT			-						-						0.5		0.3		3216.5	0.75  	-0.20	0.0		1.0			0.95	0.0 	1.0				0 0 0 0			0 0		ICE			
SNOW_LOOSE					LOOSE_TERRAIN		SNOW_LOOSE	    	DEFAULT			-						-						1.5		0.1		560.0	0.80  	-0.10	0.20	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SNOW_LOOSE		
SNOW_COMPACT				LOOSE_TERRAIN		SNOW_COMPACT	    DEFAULT			-						-						1.2		0.1		1683.5	0.80  	-0.10	0.15	1.0			0.95	0.0 	1.0				0 0 0 0			0 0		SNOW_COMPACT			
SNOW_DEEP					LOOSE_TERRAIN		SNOW_LOOSE	    	DEFAULT			-						-						2.0		0.1		560.0	0.90  	-0.10	0.30	1.0			0.95	0.0 	1.0				0 0 0 0			1 0		SNOW_DEEP		
SNOW_TARMAC					HARD_TERRAIN		SNOW_COMPACT    	DEFAULT			-						-						1.2		0.4		6300.0	0.90	-0.10	0.10	1.0			0.95	0.0 	1.0				0 0 0 0			0 1		SNOW_TARMAC			
												  																																				
